Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
dh,2024all,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,168,8,18749224438,00:00:18
dh,2024all,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,8,-,-
dh,2024all,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,168,0,-,-
dh,2024all,tim-1.0-web-latest.tar.gz,ALL,0.03989654195011338,0.2834733893557423,0.2834733893557423,0.06887693783770137,0.026420079260237782,0.13071895424836602,0.13071895424836602,0.04395604395604395,20,20,737,133,838,7625107167,00:00:07
dh,2024all,tim-1.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,7,-,-
dh,2024all,tim-1.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,0,175,-,-
dh,2024all,tim-1.0-web-latest.tar.gz,INSTANCES,0.0605162519183037,0.2834733893557423,0.2834733893557423,0.09784573849089977,0.03048780487804878,0.13071895424836602,0.13071895424836602,0.049443757725587144,20,20,636,133,656,-,-
dh,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.5267857142857143,0.4741429591476526,0.47414295914765253,0.44535692429656043,0.6460176991150443,0.43452380952380953,0.43452380952380953,0.5195729537366548,73,73,40,95,113,17267722623,00:00:17
dh,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
