Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_9855ea50,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7242,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_bcf23a5f,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7096,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_2b089ca4,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7142,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_4d1bfe78,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7245,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_04e3793d,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7264,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_6f82bef2,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7109,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_fcc3853f,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7152,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_b607d747,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7126,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_3bff2fb5,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7247,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_95e9c3a6,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7241,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_cc22e013,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7156,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_508b6b1e,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7170,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_6d528ffb,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7115,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_8bb3692d,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7221,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_64e2871b,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7172,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_74591782,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7206,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_59a790d9,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7181,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_ccc4d1d5,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7240,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_dac3529c,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7184,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_4d1bfe78,=,0.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7170,[],[],"[""skos:Concept""]",true,false negative
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_2f305609,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7258,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_e4e31039,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7274,[],[],"[""skos:Concept""]",false,false positive
dh,idai-parthenos,tim-1.0-web-latest.tar.gz,[],[],"[""skos:Concept""]",http://thesauri.dainst.org/_35beea54,=,1.0,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7084,[],[],"[""skos:Concept""]",false,false positive
